timestamp,temperature,humidity,last_seen
2025-07-20 16:56:52,,,2025-07-16 13:29:59
2025-07-20 17:01:00,,,2025-07-16 13:29:59
2025-07-20 17:02:02,,,2025-07-16 13:29:59
2025-07-20 17:03:01,,,2025-07-16 13:29:59
2025-07-20 17:03:52,,,2025-07-16 13:29:59
2025-07-20 17:04:56,,,2025-07-16 13:29:59
2025-07-20 17:06:05,,,2025-07-16 13:29:59
2025-07-20 17:07:04,,,2025-07-16 13:29:59
2025-07-20 17:08:09,,,2025-07-16 13:29:59
2025-07-20 17:09:09,,,2025-07-16 13:29:59
2025-07-20 17:10:06,,,2025-07-16 13:29:59
2025-07-20 17:11:09,,,2025-07-16 13:29:59
2025-07-20 17:12:55,,,2025-07-16 13:29:59
2025-07-20 17:12:55,,,2025-07-16 13:29:59
2025-07-20 17:56:46,,,2025-07-16 13:29:59
2025-07-20 18:57:47,,,2025-07-16 13:29:59
2025-07-20 19:59:11,,,2025-07-16 13:29:59
2025-07-20 21:28:39,,,2025-07-16 13:29:59
2025-07-20 23:29:01,,,2025-07-16 13:29:59,
2025-07-20 23:59:30,,,2025-07-16 13:29:59,
2025-07-21 01:33:27,,,2025-07-16 13:29:59,,未割当
2025-07-21 01:33:27,,,2025-07-16 13:29:59,,未割当
2025-07-21 09:56:10,,,2025-07-16 13:29:59,,未割当
2025-07-21 17:37:32,,,2025-07-16 13:29:59,
2025-07-22 11:57:53,,,2025-07-16 13:29:59,
2025-07-22 14:58:45,,,2025-07-16 13:29:59,
2025-07-22 17:59:20,,,2025-07-16 13:29:59,
2025-07-22 20:59:34,,,2025-07-16 13:29:59,
2025-07-22 23:59:49,,,2025-07-16 13:29:59,
2025-07-23 03:00:04,,,2025-07-16 13:29:59,
2025-07-23 06:00:18,,,2025-07-16 13:29:59,
2025-07-23 08:55:33,,,2025-07-16 13:29:59,
2025-07-23 11:56:09,,,2025-07-16 13:29:59,
2025-07-23 15:00:00,,,2025-07-16 13:29:59,
2025-07-23 17:55:18,,,2025-07-16 13:29:59,
