timestamp,temperature,humidity,last_seen
2025-07-20 16:56:52,28.6,54.7,2025-07-20 16:56:38
2025-07-20 17:01:00,28.6,54.4,2025-07-20 17:00:40
2025-07-20 17:02:02,28.6,54.4,2025-07-20 17:01:38
2025-07-20 17:03:01,28.6,54.4,2025-07-20 17:02:39
2025-07-20 17:03:52,28.6,54.4,2025-07-20 17:03:39
2025-07-20 17:04:56,28.6,54.3,2025-07-20 17:04:38
2025-07-20 17:06:05,28.6,54.2,2025-07-20 17:05:39
2025-07-20 17:07:04,28.6,54.3,2025-07-20 17:06:39
2025-07-20 17:08:09,28.6,54.5,2025-07-20 17:07:38
2025-07-20 17:09:09,28.6,54.3,2025-07-20 17:08:39
2025-07-20 17:10:06,28.6,54.4,2025-07-20 17:09:38
2025-07-20 17:11:09,28.6,54.7,2025-07-20 17:10:39
2025-07-20 17:12:55,28.6,54.8,2025-07-20 17:11:39
2025-07-20 17:12:55,28.6,54.8,2025-07-20 17:11:39
2025-07-20 17:56:46,28.1,55.5,2025-07-20 17:56:39
2025-07-20 18:57:47,27.7,55.2,2025-07-20 18:57:39
2025-07-20 19:59:11,27.5,55.6,2025-07-20 19:58:39
2025-07-20 21:28:39,27.2,55.2,2025-07-20 21:27:38
2025-07-20 23:29:01,26.9,55.2,2025-07-20 23:28:46,
2025-07-20 23:59:30,26.9,55.2,2025-07-20 23:58:38,
2025-07-21 01:33:27,26.7,55.2,2025-07-21 01:32:39,,未割当
2025-07-21 01:33:27,26.7,55.2,2025-07-21 01:32:39,,未割当
2025-07-21 09:56:10,28.2,59.9,2025-07-21 09:55:41,,未割当
